taxa	GenLength
Arborophila_sumatrana	4.912351243
Arborophila_orientalis	4.958746008
Arborophila_javanica	4.238211667
Arborophila_rubrirostris	4.462827078
Arborophila_hyperythra	4.748855809
Arborophila_ardens	4.985385429
Arborophila_chloropus	4.719951651
Arborophila_tonkinensis	2.836540189
Arborophila_charltonii	4.714288936
Arborophila_graydoni	2.836540189
Rhizothera_longirostris	6.103401893
Rhizothera_dulitensis	3.045870506
Melanoperdix_niger	4.379547199
Haematortyx_sanguiniceps	2.627367596
Caloperdix_oculeus	2.370246575
Galloperdix_spadicea	5.143703536
Galloperdix_lunulata	4.730846545
Galloperdix_bicalcarata	5.744846731
Afropavo_congensis	7.304525954
Pavo_cristatus	8.830374084
Pavo_muticus	7.936147097
Argusianus_argus	8.37341028
Rheinardia_ocellata	5.825849888
Polyplectron_napoleonis	5.990459762
Polyplectron_malacense	7.41233657
Polyplectron_schleiermacheri	6.657488977
Polyplectron_germaini	6.612619301
Polyplectron_katsumatae	5.631146972
Polyplectron_bicalcaratum	6.35525702
Polyplectron_inopinatum	5.766561816
Polyplectron_chalcurum	6.303556508
Margaroperdix_madagarensis	1.533761887
Coturnix_coturnix	2.933149492
Coturnix_japonica	2.166841082
Coturnix_coromandelica	2.540774969
Coturnix_delegorguei	2.31455211
Coturnix_pectoralis	2.346419111
Coturnix_novaezelandiae	2.199713729
Synoicus_ypsilophorus	2.219720221
Synoicus_chinensis	2.141876816
Synoicus_adansonii	3.045870506
Anurophasis_monorthonyx	5.054623201
Tetraogallus_caucasicus	3.962765081
Tetraogallus_caspius	4.029582997
Tetraogallus_himalayensis	3.782800199
Tetraogallus_tibetanus	4.507931357
Tetraogallus_altaicus	4.907380007
Alectoris_graeca	2.147793261
Alectoris_chukar	2.271141313
Alectoris_magna	2.993997562
Alectoris_philbyi	3.099540503
Alectoris_barbara	1.849753388
Alectoris_rufa	1.996759185
Alectoris_melanocephala	3.312135239
Lerwa_lerwa	5.286479903
Ammoperdix_griseogularis	2.699878109
Ammoperdix_heyi	3.125016274
Perdicula_asiatica	2.516739816
Perdicula_argoondah	2.462139855
Perdicula_erythrorhyncha	2.497201533
Perdicula_manipurensis	2.994008135
Ophrysia_superciliosa	3.045870506
Pternistis_hartlaubi	3.105721454
Pternistis_bicalcaratus	4.103074911
Pternistis_icterorhynchus	3.887738588
Pternistis_clappertoni	5.645011281
Pternistis_harwoodi	4.557825356
Pternistis_adspersus	3.818628555
Pternistis_capensis	4.243622457
Pternistis_natalensis	4.606399165
Pternistis_hildebrandti	4.202549141
Pternistis_ahantensis	4.497944353
Pternistis_squamatus	4.023801078
Pternistis_griseostriatus	4.1723404
Pternistis_leucoscepus	4.607501476
Pternistis_rufopictus	4.826851114
Pternistis_afer	4.137990449
Pternistis_swainsonii	4.465118133
Pternistis_jacksoni	6.479723959
Pternistis_nobilis	5.463864597
Pternistis_camerunensis	5.906776316
Pternistis_swierstrai	4.576147492
Pternistis_castaneicollis	4.899446191
Pternistis_atrifrons	3.045870506
Pternistis_erckelii	4.699958098
Pternistis_ochropectus	6.167534703
Francolinus_francolinus	2.259979039
Francolinus_pictus	3.677987076
Francolinus_pintadeanus	3.230235343
Francolinus_pondicerianus	2.367660223
Francolinus_gularis	4.52806484
Dendroperdix_sephaena	3.661455228
Peliperdix_coqui	4.07358555
Peliperdix_albogularis	3.613417184
Peliperdix_schlegelii	4.225988527
Peliperdix_lathami	5.50220118
Scleroptila_streptophora	4.607875991
Scleroptila_levaillantii	3.145710854
Scleroptila_afra	4.356003979
Scleroptila_finschi	4.678085553
Scleroptila_psilolaema	4.6465756
Scleroptila_elgonensis	3.045870506
Scleroptila_shelleyi	4.790255451
Scleroptila_whytei	3.045870506
Scleroptila_gutturalis	3.238786571
Bambusicola_fytchii	3.694518412
Bambusicola_thoracicus	3.283656161
Bambusicola_sonorivox	2.049606147
Gallus_gallus	5.282605098
Gallus_sonneratii	5.218461728
Gallus_lafayettii	7.100457865
Gallus_varius	5.916377799
Tetraophasis_obscurus	5.341572319
Tetraophasis_szechenyii	5.518268598
Lophophorus_impejanus	6.587197971
Lophophorus_sclateri	6.390244696
Lophophorus_lhuysii	8.071342832
Tragopan_melanocephalus	5.509079393
Tragopan_satyra	6.178064358
Tragopan_blythii	6.500795817
Tragopan_temminckii	4.79518799
Tragopan_caboti	5.131771992
Ithaginis_cruentus	4.911978184
Pucrasia_macrolopha	5.112309055
Syrmaticus_ellioti	4.068262265
Syrmaticus_humiae	3.688031451
Syrmaticus_mikado	3.890968643
Syrmaticus_soemmerringii	4.242563319
Syrmaticus_reevesii	3.993863318
Chrysolophus_pictus	2.996993066
Chrysolophus_amherstiae	3.843072372
Phasianus_colchicus	4.77330905
Phasianus_versicolor	3.918718793
Crossoptilon_crossoptilon	5.649914991
Crossoptilon_harmani	5.650604661
Crossoptilon_mantchuricum	4.875714207
Crossoptilon_auritum	5.082627937
Catreus_wallichii	4.417477078
Lophura_leucomelanos	4.300684441
Lophura_nycthemera	4.849531622
Lophura_edwardsi	5.292541741
Lophura_swinhoii	5.069019067
Lophura_inornata	7.625545366
Lophura_erythrophthalma	5.648806192
Lophura_pyronota	3.045870506
Lophura_ignita	5.229808253
Lophura_rufa	3.045870506
Lophura_diardi	4.991399919
Lophura_bulweri	8.411951288
Perdix_perdix	1.933238715
Perdix_dauurica	1.488669934
Perdix_hodgsoniae	3.244586334
Meleagris_gallopavo	4.689787737
Meleagris_ocellata	3.536133586
Bonasa_umbellus	2.398076811
Bonasa_bonasia	2.495634526
Bonasa_sewerzowi	2.55387208
Lagopus_lagopus	2.332812222
Lagopus_muta	2.992514649
Lagopus_leucura	4.116172628
Dendragapus_obscurus	4.475357304
Dendragapus_fuliginosus	3.583927834
Falcipennis_falcipennis	2.964294759
Falcipennis_canadensis	3.394960462
Falcipennis_franklinii	2.705250339
Tetrao_urogallus	5.648734774
Tetrao_urogalloides	6.018612112
Lyrurus_tetrix	3.374897775
Lyrurus_mlokosiewiczi	3.849344692
Centrocercus_urophasianus	3.822699139
Centrocercus_minimus	4.623188277
Tympanuchus_phasianellus	2.537761556
Tympanuchus_cupido	2.633883697
Tympanuchus_pallidicinctus	2.835452238
Anhima_cornuta	7.596488874
Chauna_chavaria	6.7921004
Chauna_torquata	8.297933192
Anseranas_semipalmata	8.144257987
Dendrocygna_viduata	3.149514342
Dendrocygna_autumnalis	2.362207056
Dendrocygna_guttata	2.834540066
Dendrocygna_arborea	4.458377096
Dendrocygna_bicolor	2.619713927
Dendrocygna_eytoni	2.946838212
Dendrocygna_arcuata	3.215929329
Dendrocygna_javanica	3.320177915
Thalassornis_leuconotus	4.224768434
Heteronetta_atricapilla	5.919566274
Nomonyx_dominicus	4.328379996
Oxyura_jamaicensis	3.856815295
Oxyura_ferruginea	3.325641023
Oxyura_vittata	5.183746432
Oxyura_australis	4.877165579
Oxyura_maccoa	4.454027358
Oxyura_leucocephala	4.60534982
Biziura_lobata	9.259187526
Malacorhynchus_membranaceus	4.004283732
Stictonetta_naevosa	5.12631324
Cereopsis_novaehollandiae	9.158951076
Coscoroba_coscoroba	7.799064052
Cygnus_melancoryphus	7.551378943
Cygnus_atratus	10.43144616
Cygnus_olor	9.800268867
Cygnus_buccinator	9.306894418
Cygnus_cygnus	9.665784025
Cygnus_columbianus	11.99546495
Branta_bernicla	9.908548955
Branta_leucopsis	10.04606165
Branta_ruficollis	7.257185195
Branta_hutchinsii	9.217436837
Branta_canadensis	9.449200494
Branta_sandvicensis	12.0907316
Anser_canagicus	8.008237927
Anser_caerulescens	8.764038712
Anser_rossii	6.250561565
Anser_indicus	6.046371266
Anser_anser	7.92597639
Anser_cygnoid	9.428410925
Anser_fabalis	8.328318593
Anser_brachyrhynchus	11.67208628
Anser_albifrons	8.40029148
Anser_erythropus	7.603944772
Clangula_hyemalis	6.005650979
Somateria_fischeri	8.325095728
Somateria_spectabilis	11.365329
Somateria_mollissima	11.21901402
Polysticta_stelleri	7.71950274
Melanitta_perspicillata	5.513907439
Melanitta_fusca	5.778288318
Melanitta_stejnegeri	5.356809386
Melanitta_deglandi	5.438067803
Melanitta_nigra	5.338371638
Melanitta_americana	5.343234274
Bucephala_albeola	5.492261298
Bucephala_clangula	7.109900304
Bucephala_islandica	6.602453125
Mergellus_albellus	4.155481581
Lophodytes_cucullatus	4.513622284
Mergus_merganser	5.050720794
Mergus_squamatus	4.3185444
Mergus_serrator	5.730468376
Mergus_australis	5.108400663
Mergus_octosetaceus	4.562419733
Histrionicus_histrionicus	6.149206491
Camptorhynchus_labradorius	5.472264623
Neochen_jubata	4.388557356
Chloephaga_melanoptera	5.195727611
Chloephaga_picta	6.307997241
Chloephaga_hybrida	8.355266512
Chloephaga_poliocephala	8.099538907
